sample	strainID	genus	species	count
H4-d17	HAMBI-2494	Paraburkholderia	kururiensis	0
H4-d17	HAMBI-2659	Stenotrophomonas	maltophilia	527
H4-d17	HAMBI-2792	Moraxella	canis	0
H4-d17	HAMBI-3031	Niabella	yanshanensis	0
H4-d17	HAMBI-3237	Microvirga	lotononidis	0
H4-d21	HAMBI-0006	Pseudomonas	putida	0
H4-d21	HAMBI-0097	Acinetobacter	lwoffii	0
H4-d21	HAMBI-0105	Agrobacterium	tumefaciens	0
H4-d21	HAMBI-0262	Brevundimonas	bullata	0
H4-d21	HAMBI-0403	Comamonas	testosteroni	292
H4-d21	HAMBI-1279	Hafnia	alvei	7
H4-d21	HAMBI-1287	Citrobacter	koseri	105
H4-d21	HAMBI-1292	Morganella	morganii	9714
H4-d21	HAMBI-1299	Kluyvera	intermedia	0
H4-d21	HAMBI-1842	Sphingobium	yanoikuyae	0
H4-d21	HAMBI-1896	Sphingobacterium	spiritivorum	0
H4-d21	HAMBI-1923	Myroides	odoratus	2273
H4-d21	HAMBI-1972	Aeromonas	caviae	1178
H4-d21	HAMBI-1977	Pseudomonas	chlororaphis	4811
H4-d21	HAMBI-1988	Chitinophaga	sancti	0
H4-d21	HAMBI-2159	Paraburkholderia	caryophylli	0
H4-d21	HAMBI-2160	Bordetella	avium	0
H4-d21	HAMBI-2164	Cupriavidus	necator	0
H4-d21	HAMBI-2443	Paracoccus	denitrificans	0
H4-d21	HAMBI-2494	Paraburkholderia	kururiensis	1
H4-d21	HAMBI-2659	Stenotrophomonas	maltophilia	5027
H4-d21	HAMBI-2792	Moraxella	canis	0
H4-d21	HAMBI-3031	Niabella	yanshanensis	0
H4-d21	HAMBI-3237	Microvirga	lotononidis	0
H4-d29	HAMBI-0006	Pseudomonas	putida	0
H4-d29	HAMBI-0097	Acinetobacter	lwoffii	0
H4-d29	HAMBI-0105	Agrobacterium	tumefaciens	0
H4-d29	HAMBI-0262	Brevundimonas	bullata	0
H4-d29	HAMBI-0403	Comamonas	testosteroni	58
H4-d29	HAMBI-1279	Hafnia	alvei	202
H4-d29	HAMBI-1287	Citrobacter	koseri	209
H4-d29	HAMBI-1292	Morganella	morganii	23068
H4-d29	HAMBI-1299	Kluyvera	intermedia	0
H4-d29	HAMBI-1842	Sphingobium	yanoikuyae	0
H4-d29	HAMBI-1896	Sphingobacterium	spiritivorum	0
H4-d29	HAMBI-1923	Myroides	odoratus	4003
H4-d29	HAMBI-1972	Aeromonas	caviae	67
H4-d29	HAMBI-1977	Pseudomonas	chlororaphis	27406
